"","title","point","review"
"150","폰 부스","10","폰 부스이영화가 15년이나 됐다니 정말 재미나게 잘 봤었던 기억이 "
"151","탐정: 리턴즈","8","탐정: 리턴즈기대안하고봐서 그런지 재밌게봤어요~ "
"152","퀸카가 아니어도 좋아","10","퀸카가 아니어도 좋아재밌다 요근래 본 하이틴 영화중 가장 재밌음 "
"153","탐정: 리턴즈","10","탐정: 리턴즈넘 재밌개 잘봤어요 ㅎㅎ "
"154","나를 기억해","1","나를 기억해거지깽깽이같다 이 영화를 끝까지 다 본 내 시간이 아까움 영화 리뷰 처음달아본다 기대가 컸던만큼 실망함 "
"155","검은 물 밑에서","10","검은 물 밑에서음악적 효과가 최고의 영화중 하나. "
"156","쥬라기 월드: 폴른 킹덤","7","쥬라기 월드: 폴른 킹덤그럭저럭 생각없이 볼만한 영화 "
"157","더 리치","2","더 리치제레미어바인잘생김+사막 멋있다 딱 두개 말곤 레알더럽게도 지루함 "
"158","셔터 아일랜드","10","셔터 아일랜드아내한테 잘해라. 혼자서 애 셋키우면 진짜 돌아버리는거다. 모두 죽는거다. ㅡㅡ 그니까 무조건 아내에게 잘해라. 아내를 사랑해주고. 집안일도 돕고 애도 같이 키우는거다. 이게 교훈이다. "
"159","월요일이 사라졌다","10","월요일이 사라졌다자매끼리 돕는 거 너무 멋있습니다.결말 정말 마음에 들어요.다시 보고 싶네요. "
"160","김씨 표류기","10","김씨 표류기9년이 지난 영화임에도 변하지 않은 대한민국의 어두운 부분을 반영한다는게 슬퍼지는 영화네요 "
"161","쥬라기 월드: 폴른 킹덤","8","쥬라기 월드: 폴른 킹덤감동은 없지만 재미있음 애들은 집중함... "
"162","쥬라기 월드: 폴른 킹덤","1","쥬라기 월드: 폴른 킹덤지루하고 재미없다.. "
"163","개 같은 내 인생","10","개 같은 내 인생17일 이대에 있는 아트하우스 모모에서 마지막 상영하는 것을 운 좋게 보게됐다. 어린 아이의 순수함과 엉뚱함, 호기심 등을 가식없이 보여주는 영화. 필름 카메라로 촬영해 지금의 디지털 카메라로 찍은 영화와 다르게 감성을 자극한다. 내숭없는 성장드라마. "
"164","버닝","1","버닝점수 0점은없나 뭘전달하고자하는지 하나도모르겟네 1점주기도아까운영화다 "
"165","당갈","10","당갈최고! 연기 짱! 감동!! 믿고보는 배우 아미르칸 ! 꼭 보세요 "
"166","인시디어스","3","인시디어스초중반까지 분위기 잘 이끌어가다가 후반부에 길을 잃어버린 영화. 결말은 매우 매력적이다. "
"167","탐정: 리턴즈","10","탐정: 리턴즈재밌어요오오오ㅗㅇ오 "
"168","트루스 오어 데어","8","트루스 오어 데어올해 첫 공포영화 존잼짱 "
"169","테일 오브 테일즈","1","테일 오브 테일즈못생기면 끝까지 사랑해도 죽어야 하는 영화. 도와준애들도 불쌍하다. 딸 건내준 왕도 사이코패스같고 에피소드 마무리가 다 구리다 "
"170","오션스8","10","오션스8눈찌푸려지는 장면 하나도 없이 시간가는줄도모르고 진짜.. 사랑에 빠져서 큰일났어요... 루한테 인생휘둘려서 엉망진창으로 살고싶다 케이트 진짜 너무사랑해애애애애!!!! 이런영화 앞으로도 많이 나왔으면좋겠어요 또보러갈것입니다 "
"171","첩혈쌍웅 2 - 첩혈속집","8","첩혈쌍웅 2 - 첩혈속집영웅본색만큼은 아니지만 액션으로서 전혀 손색이없는 수작 "
"172","조선명탐정: 흡혈괴마의 비밀","4","조선명탐정: 흡혈괴마의 비밀A급 배우들이 출연하는 B급 영화 "
"173","사랑할 때 이야기하는 것들","8","사랑할 때 이야기하는 것들어렸을 때, 외국에 계시던 아버지와 전화를 할 때 항상 울었던 것 같다. 한국에 오실 때마다 선물을 한가득 가져오시던 아버지가 모든 문제를 해결해 주시길 바라는 마음이었던 것 같다. 나는 아직도 내가 행복해질 수 있을 거라고 생각한다. "
"174","모아나","10","모아나오랜만에 다시 봤는데 여전히 재밌군요 "
"175","유전","7","유전왜 제목 오역에 대한 이야기는 없을까... 내용 보면 '세습'인데 "
"176","대니쉬 걸","10","대니쉬 걸Let it fly... "
"177","트루스 오어 데어","2","트루스 오어 데어내 인생에서 본 공포영화 중 제일 별로였음 "
"178","데드풀 2","10","데드풀 2보는 내내 너무 재미있었고, 액션도 좋았다 "
"179","오션스8","2","오션스8라인업 포스터 봤지? 끝내주지? 그게 이영화의 전부야 "
"180","쥬라기 월드: 폴른 킹덤","5","쥬라기 월드: 폴른 킹덤후안 감독영화는 전부다 지루하고  극본이 개망~ 남주빼곤 섭외도 개망 "
"181","쥬라기 월드: 폴른 킹덤","10","쥬라기 월드: 폴른 킹덤오늘 졸린 상태로 오전에 봤는데 졸림 싹 날아갈정도로 존잼이였음갓블루 "
"182","크로우즈 제로","10","크로우즈 제로세리자와 개멋있다 재탕할땐 딴거 다 스킵하고 세리자와부분만 본다 분위기 미침; 야마다타카유키 얼굴도 키도 전혀 취향아닌데 연기하는 캐릭마다 심하게 매력적이라 신기.. 어떻게 그 단점을 다 연기로 커버하지 인생캐릭때문에 평점 높게주고감 영화는 중상정도 "
"183","쥬라기 월드: 폴른 킹덤","8","쥬라기 월드: 폴른 킹덤재밌습니다. 어두워요 "
"184","쥬라기 월드: 폴른 킹덤","10","쥬라기 월드: 폴른 킹덤맘충이랑 애기들때문에 심야영화로 보고왔는데 재밌네요. 근데 쿠키영상 진짜 늦게틀어줌... "
"185","파운더","10","파운더사기꾼이라고 말하기엔, 그가 이뤄낸 지금의 맥도날드가 너무 대단하네요. 어느 누가 이렇게 이뤄낼 수 있었을까요. 아이디어와 이름을 지은 맥,딕 형제의 천재성도 박수 받아야 마땅하지만, 그것만으로는 지금의 맥도날드를 이루지 못했을 겁니다. 잘 봤습니다. "
"186","쥬라기 월드: 폴른 킹덤","10","쥬라기 월드: 폴른 킹덤여자주인공 이쁨 재밌어요 "
"187","블랙 쉐도우","2","블랙 쉐도우몰입을 방해하는 엉성한 상황 연출 "
"188","탐정: 리턴즈","10","탐정: 리턴즈재밌어요ㅎ 시간 금방가고 코믹해용 "
"189","오션스8","10","오션스8번역 무엇...? 하지만 말이 필요 없는 영화. 여윽시 여자들끼리 해 먹는게 제일 재밌어 *^^* "
"190","극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이","8","극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이암만 생각해도 dp때가  전성기였던것같다... 추억돋음.. "
"191","체포왕","10","체포왕고주연 진짜 연기 개잘함 진짜 대박이다 "
"192","탐정: 리턴즈","10","탐정: 리턴즈엄청 재밌게 봤어요!! "
"193","쇼생크 탈출","10","쇼생크 탈출내 자식들한테 보여주고 반응이 궁금한 영화 "
"194","위대한 쇼맨","4","위대한 쇼맨바넘 미화그런거 다떠나서 그냥 유치의끝에 재미가없음노래가 다해먹네 영화볼시간에 그냥 유튭가서 노래두곡 듣는게 나을듯 "
"195","쥬라기 월드: 폴른 킹덤","7","쥬라기 월드: 폴른 킹덤생각보다 괜찮았어요 ㅋㅋ "
"196","오션스8","10","오션스8박지훈의 자막 빼면 완벽ㅜㅜ앤 연기 너무 좋고요 "
"197","아이 필 프리티","10","아이 필 프리티자존감 업되는 영화. 여성분들 보세요 "
"198","오션스 일레븐","6","오션스 일레븐한 탕 거하게 하고 벨라지오 분수쇼를 구경하는 맛이란. 마무리를 찝찝하게 한 게 아쉽네. "
"199","탐정: 리턴즈","10","탐정: 리턴즈재밌음!!!3편 나왔음 좋겠다 ㅋㅋ "
"200","불한당: 나쁜 놈들의 세상","10","불한당: 나쁜 놈들의 세상영화자체만 평가한다 8.5정도 주고싶은데 영화보지도 않고 1점주는애들 때매 10점준다 "
"201","탐정: 리턴즈","1","탐정: 리턴즈시사회 갔었는데 피곤해서 그런지 한번도 웃지 않았음 평점 낮을 줄 알았는데.. "
"202","벤자민 버튼의 시간은 거꾸로 간다","10","벤자민 버튼의 시간은 거꾸로 간다아 벤자민 벤자민 벤자밋 "
"203","오션스8","10","오션스8다크네 조녜 .. 최고다 "
"204","탐정: 리턴즈","10","탐정: 리턴즈정말 재미있게 봤습니당 ㅎ ㅎ "
"205","빅 히어로","10","빅 히어로사랑스러움 그자체 친구간의 사랑이 뭔지 알려준  영화 "
"206","버진 스노우","5","버진 스노우영상은 이뻤고 내용은 뭥미?스러움. 안봐도 그만인 영화. 그지같은 내용을 열심히도 설명하고있네 "
"207","레디 플레이어 원","1","레디 플레이어 원세련되게 촌스러움을 표현한게 아니라 그냥 후진영화 "
"208","쥬라기 월드: 폴른 킹덤","3","쥬라기 월드: 폴른 킹덤'""'""'""'""'"" "
"209","더 폰","1","더 폰희대의 쓰레기,, 양심없이 댓글다는 알바들때매 평점 올려놨지만 10점과 거의 같은 수준의 1점을 보면 알수있다. "
